,日期,時間,outlier
799,2019/7/5,13:00:00,False
800,2019/7/8,09:15:00,False
801,2019/7/8,09:30:00,False
802,2019/7/8,09:45:00,False
803,2019/7/8,10:00:00,False
804,2019/7/8,10:15:00,False
805,2019/7/8,10:30:00,False
806,2019/7/8,10:45:00,False
807,2019/7/8,11:00:00,False
808,2019/7/8,11:15:00,False
809,2019/7/8,11:30:00,False
810,2019/7/8,11:45:00,False
811,2019/7/8,12:00:00,False
812,2019/7/8,12:15:00,False
813,2019/7/8,12:30:00,False
814,2019/7/8,12:45:00,False
815,2019/7/8,13:00:00,False
816,2019/7/9,09:15:00,False
817,2019/7/9,09:30:00,False
